,vote_avg,protest_avg,election_avg,TWTR,FB
2021-01-11,-0.042335000000000005,-0.03945,0.021515,-0.0641025641025641,-0.04010169570313604
2021-01-08,-0.147315,-0.3620700000000001,-0.15304500000000001,-0.01624311040538473,-0.004353587272218018
2021-01-07,-0.33845000000000003,-0.361915,-0.238405,-0.01746143512810483,0.020622050211705156
2021-01-06,0.058345000000000015,-0.27163000000000004,-0.05462,-0.011507108175443537,-0.028268823012625566
2021-01-05,-0.09967999999999999,-0.30756999999999995,-0.004394999999999987,-0.011920007554007017,0.007548148229730378
2021-01-04,0.07661,-0.16450500000000004,-0.06446,0.007017488198799882,-0.015448828299182593
2020-12-31,-0.136875,-0.311,-0.077385,-0.003313086570473578,0.004744948040330765
2020-12-30,-0.036209999999999985,-0.15121499999999996,-0.06708499999999999,-0.0005518579736597529,-0.017739735594117123
2020-12-29,0.2819750000000001,-0.111845,-0.002514999999999995,-0.0012860371118867953,-0.0007942274368230029
2020-12-28,-0.00852,-0.196625,0.01756,0.008523234972702687,0.035901294747224366
2020-12-24,0.046504999999999984,-0.16974000000000006,0.0035499999999999954,-0.006077311345806802,-0.0026481333770541626
2020-12-23,-0.018745,-0.27343500000000004,-0.044475000000000015,-0.011109105809506414,0.003818896309392361
2020-12-22,-0.098025,-0.195915,-0.24228000000000002,0.004941453238313631,-0.020895241071677284
2020-12-21,-0.08700000000000001,-0.21625500000000006,-0.04583000000000001,-0.022015393270366834,-0.013060727490464386
2020-12-18,0.114235,-0.2272150000000001,-0.019994999999999985,0.022698114173565598,0.006994982960708107
2020-12-17,-0.08627499999999999,-0.351225,0.14868,0.011104978921061992,-0.0043167625925275566
2020-12-16,0.11265499999999998,-0.052365000000000016,-0.31117,0.022907970465732674,0.0004355833976665835
2020-12-15,0.07923,-0.242655,0.007649999999999995,0.015378700499807607,0.004960013093402216
2020-12-14,0.033894999999999995,-0.3720800000000001,0.0014450000000000018,0.011275291821059463,0.002339660128224841
